Output Length, Input Length, NEON Cycles, C Cycles
34, 34, 101.630552, 113.009031
34, 68, 101.510543, 112.882353
34, 102, 101.319683, 112.632139
34, 136, 198.471629, 213.953660
34, 170, 201.741294, 214.167739
34, 204, 199.072760, 213.104384
34, 238, 200.886407, 213.542282
34, 272, 294.482546, 309.504918
34, 306, 302.030478, 310.755795
34, 340, 295.693360, 316.679798
34, 374, 300.152585, 312.236297
34, 408, 393.413735, 413.386085
34, 442, 394.431233, 413.493455
34, 476, 394.700668, 416.206843
34, 510, 395.583850, 414.170277
34, 544, 491.144661, 512.772850
34, 578, 488.876471, 519.341592
34, 612, 493.479202, 513.788456
34, 646, 485.732194, 509.848618
34, 680, 587.280266, 606.502709
34, 714, 584.375264, 610.972708
34, 748, 588.761375, 613.852254
34, 782, 583.595339, 610.830785
34, 816, 682.879080, 713.340038
34, 850, 679.550639, 706.894745
34, 884, 680.130962, 712.930269
34, 918, 686.335647, 705.639971
34, 952, 772.419708, 801.175768
34, 986, 773.369522, 802.244163
34, 1020, 780.081574, 805.042056
68, 34, 100.481896, 111.123772
68, 68, 101.053518, 112.615611
68, 102, 102.102590, 114.243916
68, 136, 197.233793, 209.533140
68, 170, 199.043281, 211.363379
68, 204, 197.834613, 212.168688
68, 238, 197.967311, 211.496160
68, 272, 294.994800, 307.516267
68, 306, 292.478181, 307.688676
68, 340, 292.830817, 309.477514
68, 374, 293.964160, 311.036961
68, 408, 388.135924, 407.469235
68, 442, 388.558424, 407.584295
68, 476, 388.915984, 409.738421
68, 510, 389.474920, 408.234278
68, 544, 484.568833, 506.168097
68, 578, 485.133101, 505.635591
68, 612, 488.655905, 513.041274
68, 646, 489.550204, 509.959520
68, 680, 594.391524, 608.420463
68, 714, 587.784803, 605.165892
68, 748, 588.356489, 613.792248
68, 782, 585.127677, 607.972062
68, 816, 691.569987, 705.849472
68, 850, 683.296309, 704.734832
68, 884, 677.458624, 709.880065
68, 918, 678.403282, 715.168908
68, 952, 780.421870, 814.330269
68, 986, 783.964544, 812.468366
68, 1020, 778.837225, 810.363218
102, 34, 101.265704, 113.330740
102, 68, 102.311983, 113.691822
102, 102, 104.440470, 113.563465
102, 136, 195.900099, 209.040466
102, 170, 198.803302, 212.275358
102, 204, 198.845517, 210.907726
102, 238, 199.018575, 211.738914
102, 272, 295.281025, 311.054903
102, 306, 299.381029, 315.805431
102, 340, 306.273724, 315.183638
102, 374, 299.937190, 318.650300
102, 408, 391.339706, 420.072142
102, 442, 397.849928, 414.736631
102, 476, 392.191080, 409.947289
102, 510, 392.394121, 414.059755
102, 544, 490.901377, 508.805481
